Categorie	Type	Code	Message	MessageUtilisateur	Fonction	Contexte	Remarques
Erreur	Paramètre incorrect pour une fonction    	1	"fichier.xml doit être un vecteur de type chaîne de caractères, contenant un seul élément"	"JOLIMESS_fichier.xml doit être un vecteur de type chaîne de caractères, contenant un seul élément"	debuter_xml.moodle	Création du fichier XML	
Erreur	Paramètre incorrect pour une fonction    	2	Le texte passé n'est pas unique. Problème de codage antérieur ! [%s]	JOLIMESS_Le texte passé n'est pas unique. Problème de codage antérieur ! [%s]	coder.texte	Codage d’un texte en XML	%s remplacé par les éléments du vecteur…
Erreur	Paramètre incorrect pour une fonction    	3	Le fichier XML doit être un nom de fichier à créer ou un fichier déjà ouvert par debuter_xml.moodle	JOLIMESS_Le fichier XML doit être un nom de fichier à créer ou un fichier déjà ouvert par debuter_xml.moodle	Contextes multiples		
Erreur	Paramètre incorrect pour une fonction    	4	inserer.images doit valoir TRUE ou FALSE	JOLIMESS_inserer.images doit valoir TRUE ou FALSE	verification_conversions	Conversion « CSV » _ XML	aussi par df.moodle
Erreur	Paramètre incorrect pour une fonction    	5	"inserer.images ne doit avoir qu'une seule valeur, TRUE ou FALSE"	"JOLIMESS_inserer.images ne doit avoir qu'une seule valeur, TRUE ou FALSE"	verification_conversions	Conversion « CSV » _ XML	aussi par df.moodle
Erreur	Paramètre incorrect pour une fonction    	6	Un seul dossier contenant les images doit être spécifié	JOLIMESS_Un seul dossier contenant les images doit être spécifié	verification_conversions	Conversion « CSV » _ XML	aussi par df.moodle
Erreur	Paramètre incorrect pour une fonction    	7	Il faut indiquer un et un seul nom de fichier XML pour la sortie…	JOLIMESS_Il faut indiquer un et un seul nom de fichier XML pour la sortie…	Contextes multiples		
Erreur	Paramètre incorrect pour une fonction    	8	La précision doit être un entier positif ou NA	JOLIMESS_La précision doit être un entier positif ou NA	df.moodle	Conversion d’une data.frame	
Erreur	Paramètre incorrect pour une fonction    	9	Il faut deux séparateurs d'image au plus : pour le début et pour la fin.	JOLIMESS_Il faut deux séparateurs d'image au plus : pour le début et pour la fin.	df.moodle	Conversion d’une data.frame	
Erreur	Paramètre incorrect pour une fonction    	10	Il faut deux séparateurs de formule au plus : pour le début et pour la fin.	JOLIMESS_Il faut deux séparateurs de formule au plus : pour le début et pour la fin.	df.moodle	Conversion d’une data.frame	Formules mathématiques à convertir en image
Erreur	Paramètre incorrect pour une fonction    	11	Il faut deux séparateurs de code SMILES au plus : pour le début et pour la fin.	JOLIMESS_Il faut deux séparateurs de code SMILES au plus : pour le début et pour la fin.	df.moodle	Conversion d’une data.frame	
Erreur	Paramètre incorrect pour une fonction    	12	Pas autant de X que de Y !	JOLIMESS_Pas autant de X que de Y !	"glisser_deposer.moodle
legender_image.moodle"	Question « déposer sur une image »	Problème dans les coordonnées des zones de dépôt
Erreur	Paramètre incorrect pour une fonction    	13	Pas autant de textes que de coordonnées !	JOLIMESS_Pas autant de textes que de coordonnées !	glisser_deposer.moodle	Question « déposer sur une image »	Problème dans les étiquettes
Erreur	Paramètre incorrect pour une fonction    	14	Pas autant d'indicateurs d'unicité que de coordonnées !	JOLIMESS_Pas autant d'indicateurs d'unicité que de coordonnées !	glisser_deposer.moodle	Question « déposer sur une image »	Problème dans les étiquettes
Erreur	Paramètre incorrect pour une fonction    	15	Marque voulue : %d mais seulement %d définies	JOLIMESS_Marque voulue : %d mais seulement %d définies	legender_image.moodle	Question « légender une image »	Problème de cohérence des légendes
Erreur	Paramètre incorrect pour une fonction    	16	"Pas autant d'indications ""Infini"" que de zones de texte"	"JOLIMESS_Pas autant d'indications ""Infini"" que de zones de texte"	glisser_textes.moodle	Question « glisser dans un texte à trou »	
Erreur	Paramètre incorrect pour une fonction    	17	Le fichier XML doit être un nom de fichier à créer ou un fichier déjà ouvert par creer_glossaire.moodle	JOLIMESS_Le fichier XML doit être un nom de fichier à créer ou un fichier déjà ouvert par creer_glossaire.moodle	csv_glossaire.moodle	Conversion CSV _ glossaire XML	
Erreur	Paramètre incorrect pour une fonction    	18	"Ni note, ni indication de bonne réponse. Impossible de construire la question."	"JOLIMESS_Ni note, ni indication de bonne réponse. Impossible de construire la question."	gr.qcm	Question « cloze »	
Erreur	Paramètre incorrect pour une fonction    	19	Le nombre de réponses [%d] et le nombre de champs [%d] discordent...	JOLIMESS_Le nombre de réponses [%d] et le nombre de champs [%d] discordent...	question_libre.moodle	Question « cloze »	
Erreur	Paramètre incorrect pour une fonction    	20	Il faut autant de types que de champs réponses...	JOLIMESS_Il faut autant de types que de champs réponses...	question_libre.moodle	Question « cloze »	
Erreur	Paramètre incorrect pour une fonction    	21	Il faut autant de notes que de champs réponses...	JOLIMESS_Il faut autant de notes que de champs réponses...	question_libre.moodle	Question « cloze »	
Erreur	Paramètre incorrect pour une fonction    	22	Discordance entre nombre de réponses et nombre de fractions...	JOLIMESS_Discordance entre nombre de réponses et nombre de fractions...	question.moodle	Tous types	
Erreur	Paramètre incorrect pour une fonction    	23	Discordance entre nombre de réponses et nombre de commentaires...	JOLIMESS_Discordance entre nombre de réponses et nombre de commentaires...	question.moodle	Tous types	
Erreur	Paramètre incorrect pour une fonction    	24	Vous devez préciser le nom des codes comme nom de la liste de leur valeur...	JOLIMESS_Vous devez préciser le nom des codes comme nom de la liste de leur valeur...	question.moodle	Tous types	
Erreur	Erreurs concernant les fichiers    	100	Fichier inexistant [%f]	JOLIMESS_Fichier inexistant [%f]	Contextes multiples		Ou problème de droits d’accès…
Erreur	Erreurs concernant les fichiers    	101	Le dossier d'images indiqué n'existe pas [%d].	JOLIMESS_Le dossier d'images indiqué n'existe pas [%d].	Contextes multiples		Ou problème de droits d’accès…
Erreur	Erreurs concernant les fichiers    	102	Fichier d'image de fond inexistant ! [%s]	JOLIMESS_Fichier d'image de fond inexistant ! [%s]	Contextes multiples		Ou problème de droits d’accès…
Erreur	Erreurs concernant les fichiers    	103	Image %s non trouvée...	JOLIMESS_Image %s non trouvée...	coder_image.moodle	Insertion d’une image dans le XML	Ou problème de droits d’accès…
Erreur	Erreurs concernant les bibliothèques externes    	150	Installez le package readODS pour convertir un fichier ODS (Libre Office Calc) en XML	JOLIMESS_Installez le package readODS pour convertir un fichier ODS (Libre Office Calc) en XML	ods.moodle	Conversion ODS _ XML	
Erreur	Erreurs concernant les bibliothèques externes    	151	Installez le package openxlsx pour convertir un fichier XLSX (Excel récent) en XML.	JOLIMESS_Installez le package openxlsx pour convertir un fichier XLSX (Excel récent) en XML.	xlsx.moodle	Conversion XLSX _ XML	
Erreur	Erreurs concernant les paramètres définissant les questions    	200	Type de forme inconnu [%s]	JOLIMESS_Type de forme inconnu [%s]	legender_image.moodle	Question « légender une image »	Forme de zone inconnue
Erreur	Erreurs concernant les paramètres définissant les questions    	201	Aucune zone définie dans le texte	JOLIMESS_Aucune zone définie dans le texte	glisser_textes.moodle	Question « glisser dans un texte à trou »	
Erreur	Erreurs concernant les paramètres définissant les questions    	250	[CLOZE] Type de question inconnu [%s]	JOLIMESS_[CLOZE] Type de question inconnu [%s]	generer_question	Question « cloze »	Type de champ inconnu
Erreur	Erreurs concernant les paramètres définissant les questions    	251	Aucune réponse proposé : l'import dans Moodle échouera.	JOLIMESS_Aucune réponse proposé : l'import dans Moodle échouera.	gr.numerique	Question « cloze »	Pas de réponse fournie à une question numérique
Erreur	Erreurs concernant les paramètres définissant les questions    	252	Valeur NA : l'import dans Moodle échouera	JOLIMESS_Valeur NA : l'import dans Moodle échouera	gr.numerique	Question « cloze »	Réponse NA à une question numérique
Erreur	Erreurs concernant les paramètres définissant les questions    	253	Valeur NaN : l'import dans Moodle échouera	JOLIMESS_Valeur NaN : l'import dans Moodle échouera	gr.numerique	Question « cloze »	Réponse NaN à une question numérique
Erreur	Erreurs concernant les paramètres définissant les questions    	254	Valeur Inf : l'import dans Moodle échouera	JOLIMESS_Valeur Inf : l'import dans Moodle échouera	gr.numerique	Question « cloze »	Réponse ±Inf à une question numérique
Erreur	Erreurs concernant les paramètres définissant les questions    	255	Il y a %d réponses mais %d tolérances.	JOLIMESS_Il y a %d réponses mais %d tolérances.	gr.numerique	Question « cloze »	Incohérence entre réponses et tolérances
Erreur	Erreurs concernant les paramètres définissant les questions    	256	Il y a %d réponses mais %d notes.	JOLIMESS_Il y a %d réponses mais %d notes.	Contextes multiples	Question « cloze »	Incohérence entre réponses et notes
Erreur	Erreurs concernant les paramètres définissant les questions    	257	"[CLOZE] QCU : une seule réponse proposée, il en faut au moins 2."	"JOLIMESS_[CLOZE] QCU : une seule réponse proposée, il en faut au moins 2."	gr.qcu	Question « cloze »	
Erreur	Erreurs concernant les paramètres définissant les questions    	258	Aucune réponse correcte parmi celles indiquées ! (Réponses : %s)	JOLIMESS_Aucune réponse correcte parmi celles indiquées ! (Réponses : %s)	Contextes multiples	Question « cloze »	
Erreur	Erreurs concernant les paramètres définissant les questions    	259	"Moodle n'autorise pas plusieurs réponses correctes dans une question multiple cloze de type MULTICHOICE avec boutons radios (_H, _V, _HS, _VS) (l'import échoue)\n[type = %s, reponses = {%s}]"	"JOLIMESS_Moodle n'autorise pas plusieurs réponses correctes dans une question multiple cloze de type MULTICHOICE avec boutons radios (_H, _V, _HS, _VS) (l'import échoue)\n[type = %s, reponses = {%s}]"	gr.qcu	Question « cloze »	
Erreur	Erreurs concernant les paramètres définissant les questions    	260	"[CLOZE] QCM : une seule réponse proposée, il en faut au moins 2."	"JOLIMESS_[CLOZE] QCM : une seule réponse proposée, il en faut au moins 2."	gr.qcm	Question « cloze »	
Erreur	Erreurs concernant les paramètres définissant les questions    	261	Il y a %d réponses mais %d indications de correct/incorrect.	JOLIMESS_Il y a %d réponses mais %d indications de correct/incorrect.	gr.qcm	Question « cloze »	
Erreur	Erreurs concernant les paramètres définissant les questions    	262	Erreur dans la création de la question cloze	JOLIMESS_Erreur dans la création de la question cloze	question_libre.moodle	Question « cloze »	Problème dans les paste…
